Film Title,Film Year,Film Length,Genre 1,Genre 2,Genre 3,Genre 4,Language 1,Language 2,Language 3,Language 4,Country 1,Country 2,Country 3,Country 4,Total Ratings,Number of Fans,Average Ratings,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating,Review Text,Number of Paragraphs,Number of Likes,Comments,Followers,Following,Date
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," This shit is dumb and ridiculous as all hell. But I’d feel like the biggest grinch ever to hate on this holiday “classic”. I love choppy stop motion and it’s easy to see how much the lot of these productions influenced other animated works. This watch made me realize how much A Nightmare Before Christmas emulates the song & dance sequences. But really, the explanations for the majority of Santa’s mythos is bullshit in that it so much tells children to accept things just as they are and be little good boys & girls. And fucking lol to the potshot at retail workers around Christmas, fuck that capitalistic bulllllshit!",1,6,0,242,852,"17 Nov, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Imposing Villains That I Want To Be Redeemed By Being Given Their Favorite Childhood Toy: - Jason Voorhees- Candyman- General Grievous- Skeletor - Every single Sith- Frankenstein’s Monster - The Gill Man- Doomsday - Gorilla Grodd- Giganta- Starscream Preferably in a crossover and it needs to be a Rankin Bass claymation film.,3,10,0,"1,163",749,"24 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," MERRY CHRISTMAS EVERYONE!!! i’m so happy to have all of you in my life and i’m so glad that letterboxd has brought me so many friendships too!! i love you all SOOOOO much 💕💕🎄🎄  and kate, linly, kareem, jose and everyone else i talk to on a regular basis: i love talking to y’all on here and on social media too and i’m glad we’re all able to connect, it’s so nice to be able to bond with people who love film as much as i do :)",2,13,2,297,"5,545","25 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, Merry Christmas Eve!! ☃️,1,5,3,375,"2,884","24 Dec, 2017"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, This special begins with the postman opening and reading other peoples' mail.,1,4,0,202,925,"29 Nov, 2016"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," This one is pretty cool. It’s probably the first and only time I’ve ever seen literal santa nazis, that was nuts. A lot of crazy colors and animation too. I don’t have much else to say other than it’s a pretty fun time! Solid 7!",1,4,0,123,239,"25 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, References to Nazi Germany... parallels between Santa and Christ... a full-blown psychedelic sequence for absolutely no reason other than it was 1970... that's what I call peace on Earth and good will toward men,1,3,0,67,699,"30 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," This shit is dumb and ridiculous as all hell. But I’d feel like the biggest grinch ever to hate on this holiday “classic”. I love choppy stop motion and it’s easy to see how much the lot of these productions influenced other animated works. This watch made me realize how much A Nightmare Before Christmas emulates the song & dance sequences. But really, the explanations for the majority of Santa’s mythos is bullshit in that it so much tells children to accept things just as they are and be little good boys & girls. And fucking lol to the potshot at retail workers around Christmas, fuck that capitalistic bulllllshit!",1,6,0,242,852,"17 Nov, 2018"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491," This 1970 classic Christmas story explores the origin of Santa Clause as well as the origin of many known Christmas traditions. It is a well developed stop motion Christmas special. With Fred Astaire’s narration of the story and the acting likes of Mickey Rooney, Keenan Wynn, and Paul Frees we get a nice selection of characters from their voice acting. As good as the film was I was a bit disappointed at some of the musical aspects of the film. They just didn’t seem strong or compelling as other stop motion films. Robbie Lester has a nice musical moment but isn’t given enough time to make her voice shine during her moment. Overall a never ending enjoyable Christmas film for the family on the holidays. Overall rating 3.5/5",3,2,0,42,37,"01 Dec, 2019"
Santa Claus Is Comin' to Town,1970,48,tv movie,fantasy,animation,family,English,Spanish, , ,Japan,USA, , ,4970,2 fans,3.45,15,56,51,251,399,1357,1039,1053,258,491, santa claus has came.,1,4,0,110,293,"14 Dec, 2018"
