Film Title,Film Year,Film Length,Genre 1,Genre 2,Genre 3,Genre 4,Total Ratings,Number of Fans,Average Ratings,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating,Review Text,Number of Paragraphs,Number of Likes,Comments,Followers,Following,Date,Rating
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," An incredible synthesis of '60s art cinema deployed to document an unfulfilled revolution, underlined by the paradox of the bourgeois intellectual mourning the failure of a revolution that, if it truly lived up to its promise, would exterminate him.",1,34,1,200,"7,484",25-Aug-18,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," (English readers: just scroll down👇🏼) Godard já disse que o cinema é uma forma que pensa. Fuller declarou certa feita (fazendo ponta em Godard) que um filme é um campo de batalha. Memórias do Subdesenvolvimento, o melhor filme de Tomás Gutiérrez Alea, é um clássico do cinema discursivo, questionador, ensaístico, politicamente engajado e metalinguístico que ocupou os anos 1960. Uma obra-prima para a história universal da 7a arte. Leia mais sobre cinema no:Sombras Elétricas Godard used to say that cinema is a thinking form. Fuller declared (in a Godard movie) that a film is a battlefield. Memories of Underdevelopment, Tomás Gutiérrez Alea's best film, is a classic of the discursive, questioning, essayist, politically engaged and metalinguistic cinema that occupied the 1960s. A masterpiece for the universal history of 7th art.",4,5,0,"1,130","1,378",13-Nov-19,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, A classic of the brocialist cinema,1,6,0,278,255,16-Feb-19,rated-6
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Based on the novel Inconsolable Memories by Edmundo Desnoes, Memories of Underdevelopment is a Cuban film written and directed by Tomás Gutiérrez Alea which sets customary life against the background of a post-revolutionary Cuba. It is cleverly edited by Nelson Rodriquez to alarmingly confront and instruct the world to the then-contemporary political climate of the country, and it could almost serve as a passionate and quietly affecting semi-autobiographical work from it's writer and director. It combines actual news footage and archival photographs, and it frequently spotlights the essence of the nation in a poignant light while treating the nineteen-sixties as a period of history for the country as one defined by considerable enthusiasm and unprecedented motivation. It wields a sincere and athletic moral principle to forge itself as a work of great importance, and it's one of the most impressive films of Cuban cinema; which unsurprisingly, collected numerous awards at international film festivals.",2,52,0,"6,764","12,332",8-Jun-20,rated-9
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, Los gringos hablando sobre esta película aquí no entienden un coño lmao,1,3,0,49,51,24-Dec-19,rated-10
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," Although obviously well made, it’s less about the revolution than they give it credit for, and more about, just this one asshole.",1,4,4,"1,299",556,24-Jun-19,rated-6
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," One of the greatest tragedies of humankind is the fact that we are so bound to our countries and that thinking - and the fact that we can't make the best of that without sacrificing something of ourselves. The answer to the sacrifice is rarely ""all of ourselves"" because we are too selfish and arrogant. As much as this film is a character study and study of an era and study of a country, it is a study of nothing - the most problematic aspect of modern living. One of the most definitive and comprehensive portraits of the 1960s served in true cinematic fashion. Perhaps because this film is so good and big, my mind wanders to think about the lost ability to capture so much in one film. This is much bigger debate and it's just gut-feeling but I kind of miss films that shamelessly tried to reach to every aspect of their time and those people. Today in most cases films only bother capture a little, one side of something - that is not to say that they can't do this very well. In a sense the best of 60s cinema feels more vitalistic simply because filmmakers tried to understand ways of seeing and potential of cinema was reshaping on so many different fields. The reason why we are looking back in awe at the 60s is that these films haven't lost any of their characterizing power - even if their creators were proudly and (a tad) uncritically the children of their era.",2,3,0,226,"2,089",2-Oct-19,rated-9
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," 53/100 Second viewing, last seen 1995. Maybe I'm just too ignorant about the Cuban Revolution to properly appreciate such a counterintuitive portrait, with its focus squarely on the semi-decadent non-adventures of a bourgeois pseudo-intellectual. Gutiérrez Alea's incorporation of archival footage, clearly intended as caustic counterpoint, only amplifies my lack of interest in Sergio's complacency. Perfectly willing to concede, though, that I, like he (albeit less deliberately), have missed the boat.",2,14,3,54,"16,710",26-Aug-18,rated-6
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513," A vivid portrait of a nothing man in a nothing place where political indifference and moral ambiguity leads to self-imposed alienation, this misanthropic bourgeois content to watch the decay from his lofty watchtower as the city below forgets his very existence. Memories of Underdevelopment is hailed for its importance in Cuban cinema but Tomás Gutiérrez Alea's stunning concoction of filmmaking techniques and his ability to simultaneously champion and criticise the very revolution he supports makes it truly worthy of the acclaim. Combining documentary footage with elements of Free Cinema realism, New Wave experimentation and montage, Alea's film draws on European arthouse as much as it does on contemporary American film but somehow it all fits together like an immaculately assembled jigsaw. In the wake of the revolution, Sergio inexplicably decides to stay in Cuba, whilst all his family and friends leave in order to preserve their privileged lifestyle and we see this shallow intellectual wander the streets aimlessly, nostalgic for the past and unsure of how he fits into this new society—confused and frustrated, now only able to define his worth by relationships with women that expose him as nothing but a self-absorbed chauvinist. If we sympathise with him at any point, which is entirely possible given the persuasive use of subjectivity and his utterly passive involvement, then that perhaps suggests there are flaws with the new regime which shouldn't be ignored. Alea's imagery and deployment of allegory is incredible given what seems like a spontaneous creation and some of it was indeed pure chance, such as the shot of Sergio walking the opposite direction through a crowd of demonstrators—the symbolism of which speaks for itself and the telescope mounted high up from his balcony, which he uses to voyeuristically peer down and criticise, wasn't in the script either. Then there's the shot of Sergio through a telephoto lens that zooms in on his face until it begins to literally decompose, the exact same shot Bergman used on Max von Sydow in the final scene of The Passion of Anna the following year—an interesting coincidence? This is a film of scathing honesty and audacious introspection that asks important questions with sophistication and fascinating insight—it may be specific to a time and place, but its appeal is universal. Criterion Channel.",5,7,0,643,"1,234",19-Apr-20,rated-9
Memories of Underdevelopment,1968,99,drama, , , ,3762,54 fans,3.85,10,26,33,105,127,434,675,1195,644,513, bourgeoisie's misanthropy of not comprehending himself in not understanding any change remotely radical to themselves; unfulfilled intellectualism will lend itself into parasitic patronization.,1,3,0,269,379,4-May-20,0
